Variação,Métricas,Épocas
0.6905641184534346,Train loss,1
0.6843392521994455,Train loss,2
0.6731627535820007,Train loss,3
0.6624921107292175,Train loss,4
0.6507646758215768,Train loss,5
0.6350713501657759,Train loss,6
0.6274681779316493,Train loss,7
0.6232450427327837,Train loss,8
0.6166203331947326,Train loss,9
0.6128599781649453,Train loss,10
0.6049400838783809,Train loss,11
0.6053015785557884,Train loss,12
0.5993462533610208,Train loss,13
0.5998497676849365,Train loss,14
0.5970786157676152,Train loss,15
0.5925223686013903,Train loss,16
0.5900151901585715,Train loss,17
0.5872916299956186,Train loss,18
0.5815149877752577,Train loss,19
0.5830430603027343,Train loss,20
0.5790395043577466,Train loss,21
0.5728231682096209,Train loss,22
0.5708992275169917,Train loss,23
0.5631210740974971,Train loss,24
0.5586983910628728,Train loss,25
0.5532011469772884,Train loss,26
0.5484537279605866,Train loss,27
0.5471839456898826,Train loss,28
0.5357486191817692,Train loss,29
0.532866392816816,Train loss,30
0.5252568759237017,Train loss,31
0.5196602334295001,Train loss,32
0.5203765082359314,Train loss,33
0.5117174388681139,Train loss,34
0.4984231986318316,Train loss,35
0.5019412084988185,Train loss,36
0.49470977783203124,Train loss,37
0.48239357250077386,Train loss,38
0.47498153686523437,Train loss,39
0.47190614325659613,Train loss,40
0.46370574269975934,Train loss,41
0.45628204550061907,Train loss,42
0.45526337129729133,Train loss,43
0.4464490578004292,Train loss,44
0.4400325606550489,Train loss,45
0.4314473626443318,Train loss,46
0.4324252470902034,Train loss,47
0.42542070048195973,Train loss,48
0.4153045294114522,Train loss,49
0.41777053253991264,Train loss,50
0.4130700308935983,Train loss,51
0.40596701238836563,Train loss,52
0.40566335993153707,Train loss,53
0.40018674680164884,Train loss,54
0.39290059626102447,Train loss,55
0.3889059627056122,Train loss,56
0.38555793906961167,Train loss,57
0.38316023315702163,Train loss,58
0.38255278604371207,Train loss,59
0.37046476083142416,Train loss,60
0.36911760228020807,Train loss,61
0.3674879904304232,Train loss,62
0.3708652400118964,Train loss,63
0.3660534974506923,Train loss,64
0.36205839480672564,Train loss,65
0.35488164552620477,Train loss,66
0.3582432396071298,Train loss,67
0.3560088376488004,Train loss,68
0.3487452269451959,Train loss,69
0.34405945999281745,Train loss,70
0.34376942311014447,Train loss,71
0.34632285024438586,Train loss,72
0.33834097700459614,Train loss,73
0.33581519510064806,Train loss,74
0.33376897181783405,Train loss,75
0.33210387136254993,Train loss,76
0.3319073690686907,Train loss,77
0.3225063005515507,Train loss,78
0.3289714705092566,Train loss,79
0.322869695850781,Train loss,80
0.3214720121877534,Train loss,81
0.3210706596289362,Train loss,82
0.3170050391129085,Train loss,83
0.31614155428750174,Train loss,84
0.3158392944080489,Train loss,85
0.31937353704656873,Train loss,86
0.3095724001101085,Train loss,87
0.3109687146118709,Train loss,88
0.3050702220201492,Train loss,89
0.305241764656135,Train loss,90
0.2962776643889291,Train loss,91
0.2988579474602427,Train loss,92
0.29547594717570713,Train loss,93
0.29524706849030086,Train loss,94
0.2965755431992667,Train loss,95
0.2956911582606179,Train loss,96
0.2831114943538393,Train loss,97
0.2882814604469708,Train loss,98
0.27843506463936396,Train loss,99
0.2800978273153305,Train loss,100
0.6880769375392369,Train loss,1
0.6720758557319642,Train loss,2
0.6616272050993783,Train loss,3
0.6512296169144767,Train loss,4
0.6398859906196595,Train loss,5
0.6360508738245283,Train loss,6
0.6292503372260503,Train loss,7
0.6220393986361368,Train loss,8
0.6203333045755114,Train loss,9
0.615041777747018,Train loss,10
0.6137691760063171,Train loss,11
0.6093137310232435,Train loss,12
0.603383001429694,Train loss,13
0.6001652356556484,Train loss,14
0.6004868636812483,Train loss,15
0.5936692884990147,Train loss,16
0.5911869554860252,Train loss,17
0.5903378796577453,Train loss,18
0.586671120950154,Train loss,19
0.5820539680549076,Train loss,20
0.5790349035603659,Train loss,21
0.5770604368618556,Train loss,22
0.574201636825289,Train loss,23
0.5713216744150434,Train loss,24
0.5674135174070086,Train loss,25
0.5632451980454581,Train loss,26
0.5567476855005536,Train loss,27
0.5564588321958269,Train loss,28
0.5493594225815365,Train loss,29
0.5465764839308602,Train loss,30
0.5373418302195413,Train loss,31
0.5273333016463688,Train loss,32
0.5267352587836129,Train loss,33
0.5218453962462289,Train loss,34
0.5154538066046579,Train loss,35
0.5213582311357771,Train loss,36
0.5067437963826316,Train loss,37
0.4941731255395072,Train loss,38
0.4967520443030766,Train loss,39
0.4812869811058044,Train loss,40
0.4849285774571555,Train loss,41
0.47995737722941806,Train loss,42
0.46599054626056124,Train loss,43
0.4814200864519392,Train loss,44
0.4658278029305594,Train loss,45
0.4637662982940674,Train loss,46
0.45347842846597947,Train loss,47
0.45079918163163324,Train loss,48
0.4463227198805128,Train loss,49
0.4427083657469068,Train loss,50
0.435663594858987,Train loss,51
0.4275781885215214,Train loss,52
0.4233970866884504,Train loss,53
0.4253736320563725,Train loss,54
0.419472770861217,Train loss,55
0.41710207760334017,Train loss,56
0.4096509715488979,Train loss,57
0.4103936414207731,Train loss,58
0.4011397214446749,Train loss,59
0.39343376185212814,Train loss,60
0.39362548291683197,Train loss,61
0.3919932048661368,Train loss,62
0.38433059419904436,Train loss,63
0.38200845743928635,Train loss,64
0.37543155772345405,Train loss,65
0.37378082394599915,Train loss,66
0.3732673213311604,Train loss,67
0.3669277878318514,Train loss,68
0.36640052241938453,Train loss,69
0.36364528477191926,Train loss,70
0.35593332678079603,Train loss,71
0.35013403364590234,Train loss,72
0.35237322866916654,Train loss,73
0.34322752160685405,Train loss,74
0.34141519376209806,Train loss,75
0.3457159128359386,Train loss,76
0.3571402758359909,Train loss,77
0.33810407089335576,Train loss,78
0.33137370765209195,Train loss,79
0.325223662172045,Train loss,80
0.3275885961736952,Train loss,81
0.3220471034731184,Train loss,82
0.3162593071801322,Train loss,83
0.31577750623226164,Train loss,84
0.30985241992133006,Train loss,85
0.30142130536692485,Train loss,86
0.30487900001662116,Train loss,87
0.31026306407792226,Train loss,88
0.30461029171943665,Train loss,89
0.2976259756088257,Train loss,90
0.29088251569441387,Train loss,91
0.29103573986462183,Train loss,92
0.2880797868541309,Train loss,93
0.28491290833268845,Train loss,94
0.2957938840559551,Train loss,95
0.2773818753021104,Train loss,96
0.2994860818982124,Train loss,97
0.28082145771809985,Train loss,98
0.2669672891071865,Train loss,99
0.2639673829078674,Train loss,100
0.6922422460147313,Train loss,1
0.6901435467175075,Train loss,2
0.6861851852280753,Train loss,3
0.6781068062782287,Train loss,4
0.6657702738898141,Train loss,5
0.6517245548112052,Train loss,6
0.6393563093457904,Train loss,7
0.6324359393119812,Train loss,8
0.6268627589089529,Train loss,9
0.6175179398059845,Train loss,10
0.6169379864420209,Train loss,11
0.6105580166407993,Train loss,12
0.6093371723379407,Train loss,13
0.6076177854197365,Train loss,14
0.6037344644750867,Train loss,15
0.600546954870224,Train loss,16
0.6008637000833239,Train loss,17
0.5974945843219757,Train loss,18
0.5955880478450231,Train loss,19
0.5916478562355042,Train loss,20
0.5881357320717403,Train loss,21
0.5842235967091152,Train loss,22
0.5852918584006174,Train loss,23
0.5782540447371347,Train loss,24
0.5808429522173745,Train loss,25
0.5749107706546783,Train loss,26
0.5740841371672494,Train loss,27
0.5705060170378004,Train loss,28
0.5630118577820914,Train loss,29
0.5658819253104074,Train loss,30
0.5544556856155396,Train loss,31
0.5528692277840206,Train loss,32
0.5454150470665523,Train loss,33
0.5430851439067296,Train loss,34
0.5317892948218754,Train loss,35
0.5259070563316345,Train loss,36
0.517089410168784,Train loss,37
0.501790725163051,Train loss,38
0.5064100793429783,Train loss,39
0.49259707450866697,Train loss,40
0.4857711098875318,Train loss,41
0.4710898310797555,Train loss,42
0.4639015238625663,Train loss,43
0.4587841887133462,Train loss,44
0.4444639905861446,Train loss,45
0.43926895907946995,Train loss,46
0.4306450050217765,Train loss,47
0.424546999675887,Train loss,48
0.42265831572668894,Train loss,49
0.4112482583522797,Train loss,50
0.40781242276941027,Train loss,51
0.4079483391557421,Train loss,52
0.4034836609874453,Train loss,53
0.39920360743999483,Train loss,54
0.39862736097403934,Train loss,55
0.38842609660966054,Train loss,56
0.3833098324707576,Train loss,57
0.37751587535653797,Train loss,58
0.37184916581426347,Train loss,59
0.37752437131745475,Train loss,60
0.36704094776085444,Train loss,61
0.3659233901330403,Train loss,62
0.3568832107952663,Train loss,63
0.3513166802695819,Train loss,64
0.35429526235376085,Train loss,65
0.34764071098395755,Train loss,66
0.34424096247979574,Train loss,67
0.34420906458582196,Train loss,68
0.3457969836677824,Train loss,69
0.33659772643021174,Train loss,70
0.33130892881325313,Train loss,71
0.33109635540417265,Train loss,72
0.33244967239243645,Train loss,73
0.324296435884067,Train loss,74
0.3242494598031044,Train loss,75
0.32047955295869285,Train loss,76
0.31457301599638804,Train loss,77
0.3086524986795017,Train loss,78
0.30739120317356927,Train loss,79
0.30887670235974446,Train loss,80
0.3002402675151825,Train loss,81
0.30018926552363806,Train loss,82
0.2977833490712302,Train loss,83
0.2958776759249823,Train loss,84
0.29089322247675486,Train loss,85
0.2868878084421158,Train loss,86
0.2833704723204885,Train loss,87
0.2810470370735441,Train loss,88
0.279425354046481,Train loss,89
0.2828715045537267,Train loss,90
0.27587332883051463,Train loss,91
0.27245099404028483,Train loss,92
0.2750857807057244,Train loss,93
0.2656556431736265,Train loss,94
0.2568438366481236,Train loss,95
0.26342034522976193,Train loss,96
0.2508355448075703,Train loss,97
0.2602186840346881,Train loss,98
0.24573058962821961,Train loss,99
0.2494813465646335,Train loss,100
0.6898815056255886,Train loss,1
0.6780312030655997,Train loss,2
0.6669229926381792,Train loss,3
0.651641640663147,Train loss,4
0.6446414746556963,Train loss,5
0.637431584426335,Train loss,6
0.6327330042634691,Train loss,7
0.6317955047743661,Train loss,8
0.6269613489082881,Train loss,9
0.621859667130879,Train loss,10
0.6204994639328548,Train loss,11
0.6162965393066406,Train loss,12
0.6127742312635694,Train loss,13
0.6094396468571254,Train loss,14
0.6074216771125793,Train loss,15
0.6038244702134814,Train loss,16
0.5995225429534912,Train loss,17
0.5983841800689698,Train loss,18
0.5944064678464617,Train loss,19
0.5927104960169111,Train loss,20
0.5846271073818207,Train loss,21
0.5851029533999307,Train loss,22
0.5766445783206394,Train loss,23
0.5748422462599618,Train loss,24
0.5681119206973485,Train loss,25
0.5642625675882612,Train loss,26
0.5608659521171024,Train loss,27
0.5566301241942815,Train loss,28
0.5453988013948713,Train loss,29
0.5457754124913897,Train loss,30
0.5358687334401266,Train loss,31
0.5345293767111642,Train loss,32
0.5263570085593632,Train loss,33
0.5261602066244397,Train loss,34
0.5209273023264749,Train loss,35
0.5147485712596348,Train loss,36
0.5124305985655103,Train loss,37
0.5114473797593798,Train loss,38
0.5053033552850996,Train loss,39
0.5023657011985779,Train loss,40
0.49295857276235305,Train loss,41
