Variação,Métricas,Épocas
0.676689298578671,Train loss,1
0.6321623499052865,Train loss,2
0.6092941322496959,Train loss,3
0.5973094742212977,Train loss,4
0.5888577490619251,Train loss,5
0.574750154529299,Train loss,6
0.5580133878333228,Train loss,7
0.5409974099482808,Train loss,8
0.5167524559157235,Train loss,9
0.49010797206844603,Train loss,10
0.46327688906873976,Train loss,11
0.43869962996670175,Train loss,12
0.41879510939121245,Train loss,13
0.40349289813211986,Train loss,14
0.39198625539030346,Train loss,15
0.3832499904079097,Train loss,16
0.37275022927139484,Train loss,17
0.3659804942884615,Train loss,18
0.3557106103535209,Train loss,19
0.3484331807919911,Train loss,20
0.3428069666028023,Train loss,21
0.3398318052824054,Train loss,22
0.3329796805658511,Train loss,23
0.32808097098554884,Train loss,24
0.3247889853481736,Train loss,25
0.31775406393621647,Train loss,26
0.31315946986632687,Train loss,27
0.31524612070194313,Train loss,28
0.3057515880146197,Train loss,29
0.3029221737491233,Train loss,30
0.3004310451022216,Train loss,31
0.29568675902272973,Train loss,32
0.29236049569078854,Train loss,33
0.28662039153277874,Train loss,34
0.28158369129257543,Train loss,35
0.27819527171552183,Train loss,36
0.27449575153844696,Train loss,37
0.2702139193990401,Train loss,38
0.2634750815268074,Train loss,39
0.2647485947928258,Train loss,40
0.257647991111236,Train loss,41
0.25347785000822376,Train loss,42
0.24833664009081466,Train loss,43
0.2437665256751435,Train loss,44
0.23914256893098354,Train loss,45
0.23588306735668862,Train loss,46
0.2308993453745331,Train loss,47
0.22383534578340394,Train loss,48
0.21878452336149556,Train loss,49
0.21584775724049127,Train loss,50
0.6666592792953764,Train loss,1
0.6283119999085154,Train loss,2
0.6102619648831231,Train loss,3
0.5984751127021654,Train loss,4
0.5844922601325171,Train loss,5
0.5709323166523661,Train loss,6
0.5537231043406895,Train loss,7
0.5297818554724966,Train loss,8
0.501131723693439,Train loss,9
0.47448401717203004,Train loss,10
0.44812069556542805,Train loss,11
0.4299348471207278,Train loss,12
0.412851335385016,Train loss,13
0.4018230162348066,Train loss,14
0.3897382499277592,Train loss,15
0.3801148098494325,Train loss,16
0.3727986850483077,Train loss,17
0.36295987337827684,Train loss,18
0.35412802221519607,Train loss,19
0.34678463259977954,Train loss,20
0.3452770305531366,Train loss,21
0.33859055884182454,Train loss,22
0.3301597015985421,Train loss,23
0.3305087532422372,Train loss,24
0.32253397045390947,Train loss,25
0.3159458007344178,Train loss,26
0.3115303704568318,Train loss,27
0.3052109975261348,Train loss,28
0.30089060605636664,Train loss,29
0.29262880261455265,Train loss,30
0.2864968355212893,Train loss,31
0.2804352865581002,Train loss,32
0.27709521969514234,Train loss,33
0.2689547968975135,Train loss,34
0.26416842260531015,Train loss,35
0.2620881338896496,Train loss,36
0.25350952056369613,Train loss,37
0.247290496890034,Train loss,38
0.2459406624415091,Train loss,39
0.2352791419572064,Train loss,40
0.2319869961004172,Train loss,41
0.2251482144849641,Train loss,42
0.21799291144524302,Train loss,43
0.21181686040546213,Train loss,44
0.20962207190692425,Train loss,45
0.20365328697753804,Train loss,46
0.19470702616763966,Train loss,47
0.1908731972053647,Train loss,48
0.18113697182919297,Train loss,49
0.17718147515452334,Train loss,50
0.68585831957204,Train loss,1
0.648867246891771,Train loss,2
0.6183304535916874,Train loss,3
0.605955872450556,Train loss,4
0.5984221320067133,Train loss,5
0.5897683266656739,Train loss,6
0.5816128699268613,Train loss,7
0.5723621227911541,Train loss,8
0.5595801053728376,Train loss,9
0.53607773908547,Train loss,10
0.5128685124431338,Train loss,11
0.4823394830737795,Train loss,12
0.45410025400774817,Train loss,13
0.4322674184824739,Train loss,14
0.413530099434512,Train loss,15
0.3975656676931041,Train loss,16
0.3872514395415783,Train loss,17
0.3758274924329349,Train loss,18
0.36934401761208263,Train loss,19
0.35911561345415455,Train loss,20
0.3500473055243492,Train loss,21
0.34229091999786243,Train loss,22
0.3356138320692948,Train loss,23
0.3307212828312601,Train loss,24
0.32229398470904147,Train loss,25
0.31914171603109154,Train loss,26
0.3148547523255859,Train loss,27
0.3101945429188865,Train loss,28
0.3024270734616688,Train loss,29
0.2983539178222418,Train loss,30
0.2948854085590158,Train loss,31
0.2903132116794586,Train loss,32
0.28576092293219907,Train loss,33
0.28138415181211063,Train loss,34
0.27781366915575095,Train loss,35
0.2721099132618734,Train loss,36
0.26840687999767915,Train loss,37
0.26359475893633705,Train loss,38
0.2598655531927943,Train loss,39
0.2543237651245935,Train loss,40
0.2504132767340967,Train loss,41
0.2485930649936199,Train loss,42
0.2447831823251077,Train loss,43
0.23615135863423348,Train loss,44
0.2313515765486019,Train loss,45
0.22779849492013454,Train loss,46
0.22266128711934602,Train loss,47
0.2157668364154441,Train loss,48
0.21220774928906133,Train loss,49
0.20639503463836653,Train loss,50
0.6703509105954851,Train loss,1
0.6348868439878737,Train loss,2
0.6206250820415361,Train loss,3
0.6077394463334764,Train loss,4
0.5975650717956679,Train loss,5
0.5834754981313433,Train loss,6
0.5680890646576882,Train loss,7
0.546407473385334,Train loss,8
0.5240361487013953,Train loss,9
0.49803178123065406,Train loss,10
0.4808526765448706,Train loss,11
0.4616706311915602,Train loss,12
0.4393027795638357,Train loss,13
0.4241210943247591,Train loss,14
0.4079613427392074,Train loss,15
0.39793500663978715,Train loss,16
0.38432451912334986,Train loss,17
0.3739666421498571,Train loss,18
0.36437927524958336,Train loss,19
0.35550459280610086,Train loss,20
0.3505710518360138,Train loss,21
0.3414300234615803,Train loss,22
0.3347797996976546,Train loss,23
0.33083416605634347,Train loss,24
0.32442158510642394,Train loss,25
0.31757158543382374,Train loss,26
0.3156225875871522,Train loss,27
0.3100770262309483,Train loss,28
0.30412275394158705,Train loss,29
0.3006885550277574,Train loss,30
0.2948092822943415,Train loss,31
0.2908586771041155,Train loss,32
0.2863900949167354,Train loss,33
0.2827207869610616,Train loss,34
0.2793038286268711,Train loss,35
0.27336963742439235,Train loss,36
0.2692990948792015,Train loss,37
0.2639549427585942,Train loss,38
0.26394052157444614,Train loss,39
0.25699238703719207,Train loss,40
0.2521358301171235,Train loss,41
0.24788840706859316,Train loss,42
0.24657011999615602,Train loss,43
0.2404304837435484,Train loss,44
0.23724747497588397,Train loss,45
0.23293502850191933,Train loss,46
0.2295589659682342,Train loss,47
0.2239829098167164,Train loss,48
0.2175932433509401,Train loss,49
0.2136022728628346,Train loss,50
0.6760573456117085,Train loss,1
0.6253514390332359,Train loss,2
0.6013348865083286,Train loss,3
0.5860560378858022,Train loss,4
0.5680207313384329,Train loss,5
0.5454312815836497,Train loss,6
0.51500445744821,Train loss,7
0.4825645625804152,Train loss,8
0.4573615138871329,Train loss,9
0.4294066263096673,Train loss,10
0.41614092237183026,Train loss,11
0.4015247280044215,Train loss,12
0.3858303451963833,Train loss,13
0.38429682637963974,Train loss,14
0.38113996888910023,Train loss,15
0.37392680383154325,Train loss,16
0.3671744472639901,Train loss,17
0.35880425389323917,Train loss,18
0.3539682738482952,Train loss,19
0.3483960990181991,Train loss,20
0.3436060499506337,Train loss,21
0.3405481728592089,Train loss,22
0.33613433994352815,Train loss,23
0.3298919471885477,Train loss,24
0.3268467924850328,Train loss,25
0.32210316645247594,Train loss,26
0.31947592627789295,Train loss,27
0.3145674867289407,Train loss,28
0.3087862467446498,Train loss,29
0.30805562594107216,Train loss,30
0.30303913433636936,Train loss,31
0.30035335578024386,Train loss,32
0.2959761228199516,Train loss,33
0.28961417787841387,Train loss,34
0.28633729861250945,Train loss,35
0.2808558728811996,Train loss,36
0.27821031356496473,Train loss,37
0.27850316745894294,Train loss,38
0.2716901349914925,Train loss,39
0.2648381084097283,Train loss,40
0.2595329933187791,Train loss,41
0.255045042814953,Train loss,42
0.24975276658577578,Train loss,43
0.2481099987987961,Train loss,44
0.2512876036231007,Train loss,45
0.23852132756795202,Train loss,46
0.23218170938215085,Train loss,47
0.22958180464271988,Train loss,48
0.22389236098421472,Train loss,49
0.21729075257799454,Train loss,50
0.6447867186296554,Val loss,1
0.6275415193466913,Val loss,2
0.5980056325878416,Val loss,3
0.6455278704847608,Val loss,4
