Variação,Métricas,Épocas
0.6666213227453686,Train loss,1
0.6168474589926856,Train loss,2
0.5974521968478248,Train loss,3
0.5801211407071069,Train loss,4
0.5569287039268584,Train loss,5
0.5234524941728229,Train loss,6
0.48476338329769314,Train loss,7
0.44703121717487065,Train loss,8
0.41758305568070636,Train loss,9
0.3986338224439394,Train loss,10
0.38347574219817204,Train loss,11
0.3713502294250897,Train loss,12
0.3613495947420597,Train loss,13
0.3538048612929526,Train loss,14
0.34343319698458624,Train loss,15
0.3384355885074252,Train loss,16
0.3348316779803662,Train loss,17
0.3316517799950781,Train loss,18
0.32186955131945155,Train loss,19
0.3199989162243548,Train loss,20
0.31409774340334395,Train loss,21
0.30575396638540997,Train loss,22
0.29966833533275694,Train loss,23
0.2955535436882859,Train loss,24
0.28847049349120685,Train loss,25
0.2857077638308207,Train loss,26
0.2775317537500745,Train loss,27
0.2743886329659394,Train loss,28
0.26896987901557057,Train loss,29
0.2627819383641084,Train loss,30
0.25720430921230997,Train loss,31
0.2503047692172584,Train loss,32
0.24449671664763065,Train loss,33
0.24024029609702882,Train loss,34
0.23472192984606538,Train loss,35
0.22819643541460946,Train loss,36
0.22348979463534696,Train loss,37
0.21681669006567625,Train loss,38
0.21192740171792962,Train loss,39
0.20299736332325707,Train loss,40
0.19700788250636486,Train loss,41
0.19151344060543038,Train loss,42
0.18445680115017152,Train loss,43
0.17844598829391456,Train loss,44
0.1716074139997363,Train loss,45
0.16516789241738264,Train loss,46
0.16142516459737505,Train loss,47
0.15309029573485966,Train loss,48
0.1447833140265374,Train loss,49
0.1394973744336693,Train loss,50
0.6591634997867403,Train loss,1
0.6151553211609523,Train loss,2
0.5943873861857824,Train loss,3
0.5738777261972428,Train loss,4
0.5438268986202421,Train loss,5
0.5061353769330751,Train loss,6
0.4709514088431994,Train loss,7
0.4369167479446956,Train loss,8
0.4148667439250719,Train loss,9
0.39666474187657946,Train loss,10
0.3826784357925256,Train loss,11
0.37037764678398766,Train loss,12
0.3574344572850636,Train loss,13
0.35285365690787635,Train loss,14
0.3410360315016338,Train loss,15
0.3328344978463082,Train loss,16
0.3258570655328887,Train loss,17
0.317330386276756,Train loss,18
0.31256054995315413,Train loss,19
0.3061442624174413,Train loss,20
0.2972407568920226,Train loss,21
0.2919746727957612,Train loss,22
0.2850931646852266,Train loss,23
0.28178520551749636,Train loss,24
0.270996178374404,Train loss,25
0.2635651625125181,Train loss,26
0.2597780805223045,Train loss,27
0.2482449484581039,Train loss,28
0.25649082087335134,Train loss,29
0.23749540221478257,Train loss,30
0.2286015157224167,Train loss,31
0.22320176687978563,Train loss,32
0.21828222241784845,Train loss,33
0.2093573227631194,Train loss,34
0.20182685822958038,Train loss,35
0.1948228702179733,Train loss,36
0.18760579416439646,Train loss,37
0.1805395942110391,Train loss,38
0.17448368646381868,Train loss,39
0.16540150687985478,Train loss,40
0.15790712572102036,Train loss,41
0.15303563378573884,Train loss,42
0.14543307332676791,Train loss,43
0.13851002667276632,Train loss,44
0.1339689357835977,Train loss,45
0.12665697031610068,Train loss,46
0.1201510846295527,Train loss,47
0.11388188144369495,Train loss,48
0.10586809845375163,Train loss,49
0.10056985869870654,Train loss,50
0.6758823152950831,Train loss,1
0.6259908212934222,Train loss,2
