Variação,Métricas,Épocas
0.6905641184534346,Train loss,1
0.6843392521994455,Train loss,2
0.6731627535820007,Train loss,3
0.6624921107292175,Train loss,4
0.6507646758215768,Train loss,5
0.6350713501657759,Train loss,6
0.6274681779316493,Train loss,7
0.6232450427327837,Train loss,8
0.6166203331947326,Train loss,9
0.6128599781649453,Train loss,10
0.6049400838783809,Train loss,11
0.6053015785557884,Train loss,12
0.5993462533610208,Train loss,13
0.5998497676849365,Train loss,14
0.5970786157676152,Train loss,15
0.5925223686013903,Train loss,16
0.5900151901585715,Train loss,17
0.5872916299956186,Train loss,18
0.5815149877752577,Train loss,19
0.5830430603027343,Train loss,20
0.5790395043577466,Train loss,21
0.5728231682096209,Train loss,22
0.5708992275169917,Train loss,23
0.5631210740974971,Train loss,24
0.5586983910628728,Train loss,25
0.5532011469772884,Train loss,26
0.5484537279605866,Train loss,27
0.5471839456898826,Train loss,28
0.5357486191817692,Train loss,29
0.532866392816816,Train loss,30
0.5252568759237017,Train loss,31
0.5196602334295001,Train loss,32
0.5203765082359314,Train loss,33
0.5117174388681139,Train loss,34
0.4984231986318316,Train loss,35
0.5019412084988185,Train loss,36
0.49470977783203124,Train loss,37
0.48239357250077386,Train loss,38
0.47498153686523437,Train loss,39
0.47190614325659613,Train loss,40
0.46370574269975934,Train loss,41
0.45628204550061907,Train loss,42
0.45526337129729133,Train loss,43
0.4464490578004292,Train loss,44
0.4400325606550489,Train loss,45
0.4314473626443318,Train loss,46
0.4324252470902034,Train loss,47
0.42542070048195973,Train loss,48
0.4153045294114522,Train loss,49
0.41777053253991264,Train loss,50
0.6880769375392369,Train loss,1
0.6720758557319642,Train loss,2
0.6616272050993783,Train loss,3
0.6512296169144767,Train loss,4
0.6398859906196595,Train loss,5
0.6360508738245283,Train loss,6
0.6292503372260503,Train loss,7
0.6220393986361368,Train loss,8
0.6203333045755114,Train loss,9
0.615041777747018,Train loss,10
0.6137691760063171,Train loss,11
0.6093137310232435,Train loss,12
0.603383001429694,Train loss,13
0.6001652356556484,Train loss,14
0.6004868636812483,Train loss,15
0.5936692884990147,Train loss,16
0.5911869554860252,Train loss,17
0.5903378796577453,Train loss,18
0.586671120950154,Train loss,19
0.5820539680549076,Train loss,20
0.5790349035603659,Train loss,21
0.5770604368618556,Train loss,22
0.574201636825289,Train loss,23
0.5713216744150434,Train loss,24
0.5674135174070086,Train loss,25
0.5632451980454581,Train loss,26
0.5567476855005536,Train loss,27
0.5564588321958269,Train loss,28
0.5493594225815365,Train loss,29
0.5465764839308602,Train loss,30
0.5373418302195413,Train loss,31
0.5273333016463688,Train loss,32
0.5267352587836129,Train loss,33
0.5218453962462289,Train loss,34
0.5154538066046579,Train loss,35
0.5213582311357771,Train loss,36
0.5067437963826316,Train loss,37
0.4941731255395072,Train loss,38
0.4967520443030766,Train loss,39
0.4812869811058044,Train loss,40
0.4849285774571555,Train loss,41
0.47995737722941806,Train loss,42
0.46599054626056124,Train loss,43
0.4814200864519392,Train loss,44
0.4658278029305594,Train loss,45
0.4637662982940674,Train loss,46
0.45347842846597947,Train loss,47
0.45079918163163324,Train loss,48
0.4463227198805128,Train loss,49
0.4427083657469068,Train loss,50
0.6922422460147313,Train loss,1
0.6901435467175075,Train loss,2
0.6861851852280753,Train loss,3
0.6781068062782287,Train loss,4
0.6657702738898141,Train loss,5
0.6517245548112052,Train loss,6
0.6393563093457904,Train loss,7
0.6324359393119812,Train loss,8
0.6268627589089529,Train loss,9
0.6175179398059845,Train loss,10
0.6169379864420209,Train loss,11
0.6105580166407993,Train loss,12
0.6093371723379407,Train loss,13
0.6076177854197365,Train loss,14
0.6037344644750867,Train loss,15
0.600546954870224,Train loss,16
0.6008637000833239,Train loss,17
0.5974945843219757,Train loss,18
0.5955880478450231,Train loss,19
0.5916478562355042,Train loss,20
0.5881357320717403,Train loss,21
0.5842235967091152,Train loss,22
0.5852918584006174,Train loss,23
0.5782540447371347,Train loss,24
0.5808429522173745,Train loss,25
0.5749107706546783,Train loss,26
0.5740841371672494,Train loss,27
0.5705060170378004,Train loss,28
0.5630118577820914,Train loss,29
0.5658819253104074,Train loss,30
0.5544556856155396,Train loss,31
0.5528692277840206,Train loss,32
0.5454150470665523,Train loss,33
0.5430851439067296,Train loss,34
0.5317892948218754,Train loss,35
0.5259070563316345,Train loss,36
0.517089410168784,Train loss,37
0.501790725163051,Train loss,38
0.5064100793429783,Train loss,39
0.49259707450866697,Train loss,40
0.4857711098875318,Train loss,41
0.4710898310797555,Train loss,42
0.4639015238625663,Train loss,43
0.4587841887133462,Train loss,44
0.4444639905861446,Train loss,45
0.43926895907946995,Train loss,46
0.4306450050217765,Train loss,47
0.424546999675887,Train loss,48
0.42265831572668894,Train loss,49
0.4112482583522797,Train loss,50
0.6898815056255886,Train loss,1
0.6780312030655997,Train loss,2
0.6669229926381792,Train loss,3
0.651641640663147,Train loss,4
0.6446414746556963,Train loss,5
0.637431584426335,Train loss,6
0.6327330042634691,Train loss,7
0.6317955047743661,Train loss,8
0.6269613489082881,Train loss,9
0.621859667130879,Train loss,10
0.6204994639328548,Train loss,11
0.6162965393066406,Train loss,12
0.6127742312635694,Train loss,13
0.6094396468571254,Train loss,14
0.6074216771125793,Train loss,15
0.6038244702134814,Train loss,16
0.5995225429534912,Train loss,17
0.5983841800689698,Train loss,18
0.5944064678464617,Train loss,19
0.5927104960169111,Train loss,20
0.5846271073818207,Train loss,21
0.5851029533999307,Train loss,22
0.5766445783206394,Train loss,23
0.5748422462599618,Train loss,24
0.5681119206973485,Train loss,25
0.5642625675882612,Train loss,26
0.5608659521171024,Train loss,27
0.5566301241942815,Train loss,28
0.5453988013948713,Train loss,29
0.5457754124913897,Train loss,30
0.5358687334401266,Train loss,31
0.5345293767111642,Train loss,32
0.5263570085593632,Train loss,33
0.5261602066244397,Train loss,34
0.5209273023264749,Train loss,35
0.5147485712596348,Train loss,36
0.5124305985655103,Train loss,37
0.5114473797593798,Train loss,38
0.5053033552850996,Train loss,39
0.5023657011985779,Train loss,40
0.49295857276235305,Train loss,41
0.49304084914071217,Train loss,42
0.4875466026578631,Train loss,43
0.48201434339795796,Train loss,44
0.48586037329265047,Train loss,45
0.47761769090379985,Train loss,46
0.47076959678104946,Train loss,47
0.46829105837004525,Train loss,48
0.465833249773298,Train loss,49
0.4655784979888371,Train loss,50
0.6891290293421064,Train loss,1
0.6819978431292942,Train loss,2
0.6688561797142029,Train loss,3
0.6570553708076478,Train loss,4
0.6408918711117336,Train loss,5
0.6263969475882394,Train loss,6
0.6176247198241097,Train loss,7
0.6102013012341091,Train loss,8
0.6056331380775997,Train loss,9
0.6008870787279946,Train loss,10
0.6004760781356266,Train loss,11
0.5893455854484013,Train loss,12
0.5870825721536364,Train loss,13
0.5855601804597037,Train loss,14
0.5791982671192714,Train loss,15
0.575427565234048,Train loss,16
0.5689124706813268,Train loss,17
0.5681068893841335,Train loss,18
0.5583465557438987,Train loss,19
0.5455483441693442,Train loss,20
0.5432592262540544,Train loss,21
0.5321855463300432,Train loss,22
0.5304913292612349,Train loss,23
0.5174764478206635,Train loss,24
0.5116109042508261,Train loss,25
0.5001748950140816,Train loss,26
0.49831531831196374,Train loss,27
0.48564219849450246,Train loss,28
0.480051589012146,Train loss,29
0.4714825933320182,Train loss,30
0.4684034866946084,Train loss,31
0.4546991718666894,Train loss,32
0.44255703696182797,Train loss,33
0.442788599048342,Train loss,34
0.42995331934520176,Train loss,35
0.42319308578968046,Train loss,36
0.4215803001608167,Train loss,37
0.41249893631253925,Train loss,38
0.4131859009606498,Train loss,39
0.4035287606716156,Train loss,40
0.40395373378481186,Train loss,41
0.40085542074271613,Train loss,42
0.39196794952665054,Train loss,43
0.3907037761381694,Train loss,44
0.39938241507325856,Train loss,45
0.3941388075692313,Train loss,46
0.38071992959295,Train loss,47
0.3757466417551041,Train loss,48
0.37954923025199344,Train loss,49
0.3731305944068091,Train loss,50
0.6891024073721871,Val loss,1
0.6765530388317411,Val loss,2
0.6589503172844176,Val loss,3
0.6436714631792099,Val loss,4
0.6443401908874512,Val loss,5
0.6395903429152474,Val loss,6
0.6147805336354271,Val loss,7
0.6115015531721569,Val loss,8
0.620166808612763,Val loss,9
0.6035356340521858,Val loss,10
0.600852919154697,Val loss,11
0.6180016412432232,Val loss,12
0.607937700824132,Val loss,13
0.5942160806201753,Val loss,14
0.6412924821036202,Val loss,15
0.5951095163254511,Val loss,16
0.5876942589547899,Val loss,17
0.5776473907629649,Val loss,18
0.5775025827544076,Val loss,19
0.5734948593661898,Val loss,20
0.5810575481066628,Val loss,21
0.5621056304848383,Val loss,22
0.5589615679544115,Val loss,23
0.5584552404237172,Val loss,24
0.5492086243818677,Val loss,25
0.5459791957385957,Val loss,26
0.5374047527994429,Val loss,27
0.5360189480440957,Val loss,28
0.5289368435693166,Val loss,29
0.5239065798312899,Val loss,30
0.5265601215665302,Val loss,31
0.5070248229163034,Val loss,32
0.5230292216936747,Val loss,33
0.5044086075491375,Val loss,34
0.49148022178619627,Val loss,35
0.4904706913043582,Val loss,36
0.4873646872005765,Val loss,37
0.470335114040072,Val loss,38
0.4615634305609597,Val loss,39
0.46644661030125995,Val loss,40
0.46978720749181413,Val loss,41
0.4709897141324149,Val loss,42
0.46643508214799184,Val loss,43
0.43745182585148584,Val loss,44
0.447090638478597,Val loss,45
0.4287446050889908,Val loss,46
0.5228153107989402,Val loss,47
0.4617926526353473,Val loss,48
0.42687373026022835,Val loss,49
0.41742497433745673,Val loss,50
0.6952682999959068,Val loss,1
0.6582632137480237,Val loss,2
0.6547420654978071,Val loss,3
0.6516655905663021,Val loss,4
0.6487567715039328,Val loss,5
0.6240761363317096,Val loss,6
0.6410791374198974,Val loss,7
0.617027387013511,Val loss,8
0.6155456735595825,Val loss,9
0.6134751798803845,Val loss,10
0.6123415382703146,Val loss,11
0.6066058923327734,Val loss,12
0.5984848642538464,Val loss,13
0.6316188314225939,Val loss,14
0.5968506509349459,Val loss,15
0.5884119079037318,Val loss,16
0.5846574602997492,Val loss,17
0.583072982931894,Val loss,18
0.5800826256237333,Val loss,19
0.5888661524795351,Val loss,20
0.5732238745500171,Val loss,21
0.6135742786195543,Val loss,22
0.5622749220000373,Val loss,23
0.5777091076449742,Val loss,24
0.5521202397157275,Val loss,25
0.5533419218328264,Val loss,26
0.5589240279273381,Val loss,27
0.5509022595011999,Val loss,28
0.5521424506391798,Val loss,29
0.5365334257246956,Val loss,30
0.5243448147319612,Val loss,31
0.5292558754436554,Val loss,32
0.5186197175109197,Val loss,33
0.516801068707118,Val loss,34
0.5519677979037875,Val loss,35
0.5315499645566183,Val loss,36
0.5194779856432052,Val loss,37
0.48904449101478337,Val loss,38
0.4894839666570936,Val loss,39
0.4977645708265759,Val loss,40
0.46873470225031416,Val loss,41
